ID,Age,Gender,Experience_years,Species,Experience,Hunch,Glance,Apaja,Familiar,Delicious,Protect,Parents,Grandparents,OtherRelatives,Books,Internet,Course,Other,FunHobby,Food,ResearchOrScience,Relax,NatureExperience,Exercise,SocialActivity,SpeciesPicture1,SpeciesPicture2,Heuristics,Reported_Heuristics1,Reported_Heuristics2,Reported_Heuristics3
139,49,F,12,10,2,1,2,1,2,1,1,,,,x,x,,,x,,,x,x,,,Porcini HypholomaCapnoides Lactarius FunnelChanterelle HornOfPlenty AlbatrellusOvinus Hydnum HygrophorusCamarophyllus FlatBulb,Lactarius  Russula  Leccinum  GypsyMushroom  SheathedWoodtuft  BayBolete  Chanterelle  BirchWebcap,2,Unidentified,Milk Bulb ,Kosteus
140,27,F,10,2,4,5,5,5,4,1,1,x,,,,,,,x,x,,x,x,x,x,FunnelChanterelle HornOfPlenty,Chanterelle,4,Pick,Spot,Kosteus
141,31,F,5,5,2,4,4,5,2,1,4,,,,x,x,,,x,x,,x,x,x,,FunnelChanterelle HornOfPlenty Russula Bolete Webcap Amanita,Chanterelle Agaricus  Amanita,3,Milk Eat,Milk,
142,55,F,14,6,4,5,4,5,5,4,5,x,,,,,,x,,x,,,x,,,FunnelChanterelle Porcini,,5,Pick White,,
143,46,F,10,2,3,4,2,5,4,5,5,,,,,,,x,x,,,x,,x,,FunnelChanterelle Chanterelle,,5,Pick,,Familiar
144,50,F,18,3,4,4,4,2,2,5,3,,x,,x,,x,x,x,x,x,,,,,Matsutake GypsyMushroom LactariusRufus VelvetBolete VelvetRollRim Webcap,OrangeBirchBolete  WoollyMilkcap  Chanterelle Chaga,3,Equipment Tell Lost,Eat ,
145,65,F,35,3,4,4,4,4,5,2,2,x,,x,x,,,,x,x,,,x,x,,LactariusRufus PineBolete,,1,Familiar Equipment Clean,Pick Smell Milk,Morel Similar
146,69,F,50,10,4,5,4,4,3,1,3,x,,,x,,x,,x,x,,,x,,x,Russula Lactarius Chanterelle Bolete FunnelChanterelle HornOfPlenty GypsyMushroom HygrophorusCamarophyllus Hydnum Matsutake,Russula  Bolete  Chanterelle  HornOfPlenty  Agaricus,5,,,
147,56,F,20,2,4,4,4,4,4,2,3,,,,x,x,,,x,,,x,x,,x,FunnelChanterelle,Chanterelle,5,Pick One,,FunnelMoss
148,36,F,20,6,4,4,4,4,4,4,3,x,,,x,,,x,x,x,,x,x,x,x,FunnelChanterelle HornOfPlenty Lactarius Bolete,Chanterelle  Russula,4,Pick,Milk BoleteSafe,Chanterelle
149,77,M,55,4,4,4,5,4,2,4,3,x,,,,,,,x,x,,,x,x,,LactariusRufus GypsyMushroom Porcini Russula,Chanterelle  GrassGreenRussula,4,White ,,
150,30,F,5,3,2,4,4,4,4,2,5,,x,,x,x,,x,x,x,,x,,,x,Lactarius CurryMilkcap LactariusRufus WoollyMilkcap AlbatrellusOvinus HornOfPlenty FunnelChanterelle SlimySpikeCap HygrophorusCamarophyllus Russula GypsyMushroom Bolete Chanterelle,Chanterelle Bolete  Agaricus ,5,Pick ,Milk Smell,Similar
151,26,F,10,2,4,5,4,5,4,5,2,x,,,x,x,,,x,x,,x,x,x,,AlbatrellusOvinus FunnelChanterelle,,4,Pick Poisonous Equipment,Lookalike,Familiar Cluster
152,58,F,30,3,4,4,4,5,4,4,3,,,,,,x,x,x,,,x,x,x,,Bolete FunnelChanterelle Lactarius,Chanterelle,3,Eat,,
153,39,F,20,3,2,4,3,4,5,2,3,x,x,,,,,,x,,,,,,,FunnelChanterelle Porcini  WoollyMilkcap AlbatrellusOvinus HornOfPlenty,Porcini   WoollyMilkcap ,5,Equipment Tell,Pick Lookalike,Chanterelle FunnelMoss Mossy Familiar Rufous
154,29,F,3,4,4,4,5,5,2,4,5,x,x,,,x,,,x,x,,x,x,x,x,Bolete FunnelChanterelle AlbatrellusOvinus,Russula   Lactarius,5,Pick One,Poisonous Lookalike,Spruces Kosteus Sloped
155,60,F,25,20,4,4,4,2,1,1,1,x,,,x,x,,,x,x,x,x,x,x,,HypholomaCapnoides TheMiller FalseSaffronMilkcap LactariusAurantiacus ParasolMushroom FunnelChanterelle Chanterelle CurryMilkcap Porcini Agaricus HornOfPlenty BayBolete StrobilurusEsculentus HygrophorusCamarophyllus Russula PestlePuffball BloodRedWebcap,GrassGreenRussula  YellowSwampRussula  Russula  RoughStemmedBolete  WoollyMilkcap  SheathedWoodtuft  UglyMilkcap  Chanterelle  OrangeBirchBolete  Chaga  CoconutScentedMilkcap  ClitocybeCatinus,5,Pick One Equipment Separate Terrain Senses,Poisonous Eat ,
156,56,F,40,8,5,4,3,3,4,1,3,x,x,,x,x,,x,x,x,,x,x,x,x,Bolete SlimySpikeCap Lactarius AlbatrellusOvinus HornOfPlenty FunnelChanterelle BloodRedWebcap,Chanterelle  Bovista Lycoperdon Bolete FalseSaffronMilkcap   ,3,Alone Separate Unidentified,White Milk,Cluster FunnelMoss 
157,57,F,50,3,5,5,4,5,4,4,4,,x,,x,x,,,x,x,,x,x,x,,AlbatrellusOvinus FunnelChanterelle GypsyMushroom HornOfPlenty,Porcini,3,Milk,White,
158,49,F,15,2,4,4,3,5,4,3,3,,,,,,,x,x,x,,x,x,x,x,Bolete FunnelChanterelle,Chanterelle,4,Pick,,
159,42,F,25,4,5,5,5,5,4,4,5,,,,x,,,,x,,,x,x,x,,FunnelChanterelle,Chanterelle,2,Pick,White,
160,28,F,23,4,4,4,5,5,4,3,4,x,x,,,,,,x,,,x,x,,,,,5,Pick Separate Milk,Milk Terrain Sponge,
161,39,F,10,2,2,5,5,2,2,2,1,x,x,,,,,,x,x,,x,x,,,,,4,Pick ,Pick,
162,56,F,50,4,4,4,4,4,2,2,1,x,,,,,x,x,x,x,,x,x,x,x,Russula Bolete Lactarius FunnelChanterelle,Chanterelle Bolete,4,Tell Equipment Knife Lost,Pick Milk White Stockings,
163,65,F,13,3,2,4,4,4,4,4,5,x,,,,,,x,x,,,x,,,x,Bolete Chanterelle Hydnum,WoollyMilkcap Russula,4,Pick Sound,Pick Sources,Morel Kosteus
164,48,F,10,4,4,5,4,4,4,1,2,,,,x,x,,x,x,,,x,x,,,Chanterelle FunnelChanterelle Bolete,,5,,Pick,
165,49,F,10,3,4,5,5,3,4,2,2,,,,x,x,x,,x,x,,x,x,x,x,FunnelChanterelle Bolete Lactarius Russula AlbatrellusOvinus,Chanterelle GrassGreenRussula,5,Pick Sources,BoleteSafe,Kosteus
166,28,F,2,4,3,4,4,5,2,2,4,x,,,x,x,,,x,x,x,x,x,x,x,FunnelChanterelle HornOfPlenty Bolete Lactarius,Morel  SlipperyJack  ParasolMushroom  Agaricus,4,Pick Unidentified White,,
167,51,F,3,2,2,3,3,4,4,2,2,x,,x,x,,,,x,x,,x,x,x,,HornOfPlenty Chanterelle FunnelChanterelle,Chanterelle,4,Pick,,
168,42,F,30,2,4,4,4,5,2,2,3,x,,,,,,,x,x,,x,,,,FunnelChanterelle Chanterelle Porcini HornOfPlenty Russula,UglyMilkcap   WoollyMilkcap Agaricus,4,Equipment Milk Pick,White Bulb ,Morel Mossy Chanterelle
169,40,F,10,2,3,4,4,3,5,4,2,,,x,,,,,x,x,,x,x,,,FunnelChanterelle Chanterelle,Bolete,5,Pick,,FunnelSpruce FunnelSlope Old
170,53,F,5,3,4,4,3,5,4,2,4,x,,,x,x,,,x,x,,x,x,,,FunnelChanterelle Bolete,GrassGreenRussula  Chanterelle,4,Eat,,
171,73,F,60,4,4,4,4,4,4,1,3,x,,,x,,x,,x,x,,x,x,x,,FunnelChanterelle SweetTooth,Bolete  Chanterelle ,2,Pick,Pick,
172,27,Other,2,5,2,4,1,5,3,1,5,x,,,x,x,,x,x,x,,,,,,FunnelChanterelle,Lactarius,4,Pick,Poisonous Pick,
173,48,F,30,1,4,5,4,5,4,4,5,x,,,x,,,,x,,,x,x,,,AlbatrellusOvinus FunnelChanterelle Porcini SweetTooth Chanterelle,Chanterelle ,4,,Milk Stockings,
174,67,M,10,4,4,2,4,4,4,4,5,,,,x,x,,,x,x,,x,,x,,Chanterelle Bolete FunnelChanterelle HornOfPlenty,Chanterelle,4,Pick,,
175,19,M,5,4,4,4,4,4,2,2,2,x,,,,,,,x,x,,x,x,,,LactariusRufus Porcini,Russula   Lactarius ,5,Senses Milk,,Kosteus
176,28,F,3,2,3,4,2,4,4,1,5,x,,,,,,,x,x,,,,,,FunnelChanterelle,Chanterelle,4,Equipment,Pick,
177,73,M,40,5,5,4,4,5,4,2,5,,,x,x,,,,x,x,,x,,x,,Leccinum Porcini Lactarius AlbatrellusOvinus, Morel,5,Milk BoleteSafe,Pick,Morel Old
178,48,F,40,4,5,5,5,4,4,1,1,x,,,,,,,x,x,,x,x,x,,Bolete Lactarius,Chanterelle,2,Milk,Milk,
179,39,F,8,5,3,4,4,4,4,2,4,,x,,x,x,,x,x,,,x,x,,,FoxyBolete PineBolete LactariusRufus VelvetBolete Chanterelle GypsyMushroom ,SheathedWoodtuft  YellowSwampRussula  Porcini  Chanterelle ,4,Whole Separate  Eat,Milk White Smell Terrain Stockings,Chanterelle Instinct
180,65,F,50,2,3,4,2,1,5,1,3,x,,x,,,,x,x,x,,x,,x,,FunnelChanterelle Chanterelle Lactarius,Chanterelle,5,Pick,Milk,Chanterelle Pine FunnelMoss
181,56,F,45,5,4,5,4,4,2,4,2,x,,,x,x,,,x,x,,x,x,x,,Porcini,Chanterelle,3,Pick Unidentified Eat Poisonous,,
182,35,F,8,3,4,4,4,4,4,2,1,x,,x,x,,x,,x,x,,x,x,x,x,FunnelChanterelle Chanterelle Lactarius,Bolete  Lactarius,5,Knife Equipment,,Similar
183,62,F,42,4,5,5,5,5,4,5,4,x,,,,,,,x,,,x,x,,,AlbatrellusOvinus Chanterelle FunnelChanterelle,Russula  Chanterelle,3,Pick,,
184,70,F,60,10,4,4,4,5,5,2,5,,x,,x,,x,,,x,,,x,x,,Bolete FunnelChanterelle Hydnum Lactarius,Chanterelle  Bolete,4,Familiar,Pick,Old
185,53,F,51,3,4,4,4,4,2,5,3,x,,,x,x,,,,x,,x,x,,,Hydnum FunnelChanterelle Chanterelle Bolete HornOfPlenty,Chanterelle  Bolete  Lactarius,4,Pick Unidentified Separate,Smell,
186,63,F,15,3,4,4,4,5,5,4,2,x,,,x,,,,x,x,,x,x,x,,Russula FunnelChanterelle Bolete,Chanterelle  Bolete,5,Pick,Milk,Chanterelle
187,38,F,4,2,4,4,3,5,4,4,4,x,,,x,x,x,,x,x,,x,x,x,,FunnelChanterelle Chanterelle Lactarius,Bolete,5,Pick,BoleteSafe Milk White,
188,68,F,40,5,3,4,4,2,2,2,1,x,,,,,,,x,x,,x,x,x,x,FunnelChanterelle Lactarius HornOfPlenty Bolete Russula,Coprinus  ParasolMushroom   ,2,Pick,Pick,
189,36,F,20,3,4,4,3,5,4,2,3,x,,,x,,,x,x,x,,x,x,x,x,FunnelChanterelle AlbatrellusOvinus GypsyMushroom, BoletusBetulicola   WoollyMilkcap,4,Pick Sources,Milk Stockings ,Mossy Sloped
190,27,F,20,3,2,3,4,4,3,2,2,x,,,x,x,,,x,x,,x,x,,,FunnelChanterelle Lactarius Russula AlbatrellusOvinus SweetTooth Bolete,Chanterelle  Bolete,5,Milk  Pick,Milk BoleteSafe,
191,63,F,55,5,5,4,5,5,4,5,5,x,,,x,,,x,,x,,x,x,,,Chanterelle FunnelChanterelle Bolete Russula AlbatrellusOvinus HornOfPlenty,Bolete  Russula  Chanterelle  ParasolMushroom SlimySpikeCap,5,Equipment Separate Knife White Sources,Stockings White Poisonous,FunnelSpruce FunnelSlope Morel Chanterelle
192,74,F,64,4,4,4,4,4,3,4,4,x,,x,x,,,,x,x,,,x,x,,FunnelChanterelle Chanterelle Russula Bolete HypholomaCapnoides SweetTooth AlbatrellusOvinus Lactarius HornOfPlenty,Russula  Lactarius ,4,Pick Unidentified,White Webcap ,Mossy Kosteus Path
193,31,F,15,5,4,2,3,2,1,2,3,x,,,x,,x,,,x,x,x,x,,,FunnelChanterelle HornOfPlenty Porcini GyromitraEsculenta GypsyMushroom SlimySpikeCap,Chanterelle  Leccinum  WoollyMilkcap  SlipperyJack,4,Pick One Clean,BoleteSafe Sponge Milk,
194,53,M,10,6,4,4,4,5,4,5,4,x,,,,,,,x,x,,x,x,x,x,HornOfPlenty,Chanterelle,4,,Pick,
195,33,F,6,3,4,4,4,5,5,2,1,,,,,,,x,x,x,,,x,x,,FunnelChanterelle,Bolete,3,Pick,Smell,Familiar Similar
196,78,F,55,10,4,5,4,4,5,1,2,x,,,x,x,,,x,,,x,x,,,GypsyMushroom Lactarius HornOfPlenty FunnelChanterelle,Chanterelle  Russula,4,Pick,Webcap Milk,
197,68,F,50,10,5,4,5,4,4,3,3,x,x,,x,,,,,x,,x,,x,,,SheathedWoodtuft,2,Eat,White ,
198,37,F,16,3,3,4,4,2,4,2,5,x,,,,,,x,x,x,,x,,,x,HornOfPlenty FunnelChanterelle,Chanterelle,4,Pick,Pick,Familiar
199,38,F,25,3,4,4,4,4,4,2,2,x,,,,,x,,x,x,,x,x,,,Chanterelle FunnelChanterelle,WoollyMilkcap,4,Pick Clean,,Kosteus
200,38,F,8,3,4,5,4,5,5,2,5,,,x,x,x,,,x,x,,x,x,x,x,ParasolMushroom Chanterelle FunnelChanterelle,Porcini,5,,,
201,37,F,31,5,5,5,4,4,4,1,3,x,,x,x,,,,x,x,,x,x,,x,AlbatrellusOvinus SweetTooth FunnelChanterelle HygrophorusCamarophyllus,Porcini,4,Pick,Poisonous,
202,38,F,5,3,1,3,4,5,2,1,4,x,x,,x,x,,,x,x,,x,x,x,x,Bolete FunnelChanterelle Chanterelle,WoollyMilkcap  Chanterelle,4,Pick Milk Sources,,Kosteus
203,63,F,41,5,5,4,4,2,4,4,2,,,,x,x,x,,x,x,,x,x,,,FunnelChanterelle AlbatrellusOvinus HornOfPlenty Chanterelle SweetTooth LactariusTrivialis Porcini LactariusLignyotus HygrophorusCamarophyllus HypholomaCapnoides,Chanterelle  Russula  WoollyMilkcap  Leccinum,2,Pick ,Milk,
204,75,M,86,6,5,5,5,3,3,3,3,x,,,x,,x,x,x,x,,x,,,x,Lactarius Russula AlbatrellusOvinus FunnelChanterelle Hydnum,Chanterelle  BirchWebcap  Russula OrangeBirchBolete,4,Pick,,Kosteus
205,52,M,45,5,4,3,4,2,4,2,4,x,,,,,,,x,x,,x,x,,,Russula Lactarius Chanterelle FunnelChanterelle HygrophorusCamarophyllus,Russula  Lactarius  Hygrophoraceae  GypsyMushroom,4,Eat Separate,Eat ,
206,36,F,2,4,2,4,4,4,2,2,2,,,x,x,,x,,x,x,,x,x,x,,,,4,,,
207,59,F,50,10,5,4,5,5,5,1,3,x,,,,,,,x,x,,x,x,x,x,Lactarius FunnelChanterelle Bolete Chanterelle GypsyMushroom Russula, Chanterelle  Hydnum,1,Eat,None,
208,69,M,6,10,2,4,4,4,4,2,3,,,,x,x,,,x,x,,x,x,x,,Bolete FunnelChanterelle AlbatrellusOvinus SweetTooth ParasolMushroom Russula Chanterelle,WoollyMilkcap,4,,White,
209,65,F,6,3,4,4,4,5,2,2,4,,,x,x,x,,,x,x,,x,x,x,x,FunnelChanterelle HornOfPlenty Chanterelle SweetTooth AlbatrellusOvinus RedBandedCortinarius,GrassGreenRussula  Chanterelle  WoollyMilkcap,5,Pick,Milk Sources,
210,48,F,36,6,4,5,4,4,4,2,2,x,,,x,x,,,x,x,,x,x,x,x,LactariusRufus Bolete Russula,Lactarius  Bolete,4,Familiar Equipment Alone,Pick Smell Milk,Kosteus
211,55,F,5,3,4,1,4,5,5,2,4,,x,,x,x,,,x,x,,,x,x,,FunnelChanterelle Lactarius,Chanterelle,4,Milk Pick BoleteSafe,,Chanterelle Old
212,36,F,10,10,2,3,3,4,2,1,2,,,,x,,,x,x,x,,x,x,x,,AlbatrellusOvinus SlimySpikeCap Hydnum Webcap,SlipperyJack,4,Separate Sources,Bulb,
213,49,F,10,3,2,4,4,1,5,2,1,x,,,,,,,x,,,x,x,x,x,Chanterelle FunnelChanterelle Hydnum Bolete,Chanterelle,3,,Pick,
214,26,F,1,2,1,2,2,4,4,1,3,,,,x,x,,,x,x,,x,x,,,FunnelChanterelle Bolete,WoollyMilkcap,4,Eat Separate Equipment,Terrain,Familiar
215,50,F,10,3,2,4,4,2,4,1,4,,,,,x,,,x,x,,x,x,x,x,FunnelChanterelle,Chanterelle,5,Pick Separate Knife Alone,,
216,65,F,25,5,4,4,3,2,4,4,3,x,,x,x,,,,x,x,,,x,x,x,FunnelChanterelle HornOfPlenty Bolete Chanterelle LactariusRufus,Chanterelle LactariusTrivialis ,3,,,Familiar
217,21,M,4,3,4,4,4,5,4,2,5,x,x,x,x,x,,,x,x,x,x,x,x,x,FunnelChanterelle Porcini,Chanterelle  SlipperyJack  Agaricus,5,Knife,Poisonous,
218,36,F,30,2,4,5,3,5,5,2,2,x,,,,,,,x,x,,x,x,x,x,FunnelChanterelle Chanterelle Bolete,-,5,Pick,Sources,Familiar
219,29,F,5,6,2,4,5,5,2,2,1,,,,x,,,x,x,x,,x,x,,,FunnelChanterelle Chanterelle Bolete Hydnum,Lactarius Russula  Chanterelle ,4,Eat One,,Mossy
220,40,Other,10,5,2,4,1,5,5,4,3,x,,,,,,x,x,,,x,x,x,x,FunnelChanterelle Chanterelle Bolete,Chanterelle,5,Pick Familiar,,Familiar
221,51,F,32,9,5,5,4,5,4,2,4,,,,x,x,,x,x,x,,x,x,x,x,FunnelChanterelle HornOfPlenty Lactarius Russula GypsyMushroom SlimySpikeCap Bolete,Chanterelle Bolete ,4, Clean,Milk Sponge ,FunnelSlope FunnelMoss Path
222,61,F,51,20,5,5,4,4,4,1,4,x,,,x,,,x,x,x,,,x,,,FunnelChanterelle SweetTooth Bolete,Russula  LactariusRufus,2,eat White Pick,,Familiar FunnelMoss
223,54,F,23,4,4,4,4,4,4,2,4,x,,,x,,,x,,x,,,x,x,,Lactarius Cantharellus Bolete AlbatrellusOvinus HornOfPlenty,Agaricus  Amanita,2,,Webcap,Path Cluster Old
224,34,F,4,3,4,4,4,5,3,2,4,,,,x,x,,,x,x,,x,x,x,,FunnelChanterelle LactariusRufus Porcini,Chanterelle  WoollyMilkcap  OrangeBirchBolete,3,Pick,Milk,
225,70,F,40,5,4,5,5,4,5,4,3,x,,,x,,,x,x,x,,x,x,x,,Bolete Chanterelle FunnelChanterelle Lactarius Russula,,4,Pick Equipment,,Mossy
226,64,F,30,12,5,5,4,5,5,2,3,x,,,,,,,x,x,,x,x,x,,FunnelChanterelle CraterellusLutescens Chanterelle GypsyMushroom SlimySpikeCap Bolete Lactarius,Chanterelle Lactarius,5,Eat,Milk,Familiar
227,67,F,47,3,4,4,2,5,5,2,4,x,,x,x,,,,x,x,,,,,,Chanterelle Bolete GypsyMushroom Lactarius FunnelChanterelle,AlbatrellusOvinus  Chanterelle  Russula,3,Milk White ,Pick,
228,44,F,8,10,5,5,4,5,4,1,3,,,x,x,x,,,x,x,,x,x,,,HornOfPlenty FunnelChanterelle CraterellusLutescens Chanterelle LactariusTrivialis LactariusUtilis CurryMilkcap Porcini FoxyBolete AlbatrellusOvinus SweetTooth GypsyMushroom HygrophorusCamarophyllus SlimySpikeCap,Chanterelle YellowSwampRussula LactariusTrivialis OrangeBirchBolete,5,Eat Sources Clean White,Smell Milk BoleteSafe ,Morel Familiar
229,48,F,10,20,5,2,4,2,2,1,5,,,,,,x,,x,,x,x,x,,,HornOfPlenty FunnelChanterelle Webcap,Hygrocybe  Cuphophyllus Gliophorus Geoglossum,3,Eat Senses,None,
230,35,F,10,3,4,4,2,5,4,2,5,x,,,,x,,,x,x,,x,x,,,Lactarius AlbatrellusOvinus FunnelChanterelle,,3,Pick,,Kosteus
231,63,F,40,4,4,4,5,4,5,5,5,x,,,x,,,,x,x,,x,x,,,FunnelChanterelle,Bolete  Chanterelle,5,,,Familiar
232,61,F,10,3,4,3,3,4,4,4,4,x,,,x,x,,,x,x,,x,x,,,FunnelChanterelle Chanterelle LactariusTrivialis,Chanterelle  Bolete ,5,,,
233,37,F,5,5,4,3,4,5,4,2,2,x,,,x,,,,x,,,x,x,,,FunnelChanterelle Bolete Lactarius,,4,One Pick Clean White,Milk  Pick White Sponge,Cluster Mossy Spruces
234,51,F,10,3,4,5,5,5,5,1,5,x,,,x,x,,,x,x,,x,x,x,,Bolete Chanterelle FunnelChanterelle,Lactarius  Chanterelle,4,Pick,Milk,
235,25,M,5,10,4,4,4,2,3,1,3,x,,,x,,,,x,x,,x,,x,,FunnelChanterelle SweetTooth GypsyMushroom AlbatrellusOvinus LactariusTrivialis,OrangeBirchBolete  Chanterelle  SlipperyJack ,4,Pick Unidentified White Clean,Spot Sponge Milk,Old
236,56,F,36,4,4,4,4,5,4,4,3,,,,x,,x,x,x,x,,x,x,x,x,FunnelChanterelle Bolete HornOfPlenty,Chanterelle,4,Pick BoleteSafe Milk ,,Familiar
237,59,M,12,3,4,4,4,4,4,2,5,x,,,x,x,,,x,x,,x,,x,x,Bolete HornOfPlenty Lactarius Chanterelle,Chanterelle ,4,Pick,Milk,Chanterelle Morel
238,42,F,11,6,4,4,3,4,4,2,3,x,,x,x,,,x,x,x,,x,x,x,,FunnelChanterelle Bolete Chanterelle Lactarius,Chanterelle  Russula  Lactarius,4,Milk Poisonous,,Chanterelle FunnelMoss
239,42,F,30,4,4,5,2,5,1,1,1,x,,,,,,,,x,,x,x,,,,,3,One Eat,Pick,
240,56,F,36,3,4,4,4,2,5,2,3,x,,,x,,,,x,x,,,,,,Bolete Lactarius,Chanterelle  Russula  AlbatrellusOvinus,4,Pick,Milk Sponge,Mossy Rufous
241,69,F,15,6,4,4,2,3,4,2,2,,,,x,,x,,x,x,,,x,,,FunnelChanterelle LactariusRufus GypsyMushroom,Chanterelle,4,,White Milk ,
242,24,F,3,20,2,4,2,4,4,4,2,x,,,x,x,,,x,x,,x,x,x,x,Porcini FunnelChanterelle ShingledHedgehog GypsyMushroom HornOfPlenty,Chanterelle  Porcini  SlipperyJack,4,Milk BoleteSafe ,Sponge ,Chanterelle FunnelMoss
243,35,F,8,2,2,1,1,5,4,2,5,x,x,,,,,,,x,,,x,,,FunnelChanterelle,Chanterelle,4,Pick,White,
244,39,M,4,3,4,4,4,4,4,4,2,x,,,x,x,,,x,x,,x,x,x,,Porcini FunnelChanterelle Hydnum AlbatrellusOvinus GyromitraEsculenta,Chanterelle  Porcini,2,Pick,Pick,Old
245,53,M,30,3,4,4,4,5,2,2,4,x,,x,,,,,x,x,,,,,,FunnelChanterelle Chanterelle,,3,Eat,White Ring,
246,53,F,34,3,4,5,4,4,4,4,5,x,,,,,,x,,x,,x,x,,,FunnelChanterelle Chanterelle Bolete,WoollyMilkcap  Chanterelle,4,Pick Clean,Milk,FunnelMoss FunnelSpruce
247,61,F,30,5,3,4,4,2,4,2,2,,,,x,,x,,x,x,,x,,,,FalseSaffronMilkcap,Chanterelle  WoollyMilkcap,4,Equipment,,Familiar
248,37,F,30,2,5,5,4,5,2,2,5,x,,,,,,,x,x,,,x,x,,Chanterelle HornOfPlenty Porcini,Chanterelle   ,5,Lost Equipment Alone Pick Sound,One,
249,39,F,20,3,5,5,5,5,5,3,4,x,x,,x,,,,x,x,,x,x,x,,AlbatrellusOvinus Chanterelle HornOfPlenty Porcini Russula HygrophorusCamarophyllus,Chanterelle  Russula  WoollyMilkcap,4,Eat Milk,,
250,33,F,10,4,3,4,4,4,5,4,4,,,x,x,,,,x,x,,x,,,,HornOfPlenty,Chanterelle,5,Pick Milk Familiar ,Milk Pick,Old Sloped Mossy
251,64,F,59,9,5,4,4,5,5,2,4,,,x,,,,,x,x,,x,x,x,,Russula Lactarius Chanterelle Bolete,Chanterelle Bolete,4,White,,Chanterelle Sloped
252,66,F,49,4,4,4,4,4,4,2,2,x,x,,,,,,,x,,x,x,,,GypsyMushroom Lactarius Bolete,Chanterelle  Lactarius  Bolete,4,Milk,,FunnelSpruce Chanterelle Morel Rufous
253,32,F,10,3,2,4,3,4,4,2,2,x,,,x,,x,,,x,,x,x,,x,Lactarius Chanterelle FunnelChanterelle,Bolete,4,Pick Terrain Senses,,
254,41,F,5,8,5,4,5,2,2,1,3,,,,x,x,x,,,,x,x,,,,FunnelChanterelle Porcini LactariusRufus RussulaPaludosa GypsyMushroom,Chanterelle Bolete Russula  SlimySpikeCap   ,4,Knife Equipment Lost,,
255,37,F,20,10,4,4,4,5,4,4,1,,x,,x,x,,x,x,x,,x,x,x,x,Lactarius,,4,Senses,Milk Pick,
256,69,F,45,5,4,4,5,5,4,2,4,x,,,,,,,,x,,,,,,,,4,,,
257,68,F,10,4,4,4,4,5,4,1,4,x,,,x,,,,x,x,,,,x,,Chanterelle Bolete SlimySpikeCap,WoollyMilkcap Chanterelle,5,Pick,Pick,
258,53,F,12,4,4,4,3,4,3,1,1,x,,,x,x,,,x,,,x,x,x,x,FunnelChanterelle Lactarius AlbatrellusOvinus,Bolete  Agaricus,4,,,
259,35,F,8,3,2,4,2,2,4,2,3,x,,,,,,,x,x,,x,x,,x,Bolete,Chanterelle,4,Pick Clean,,
260,32,F,7,10,5,5,4,2,4,2,1,x,,,x,x,,,x,x,x,,,,,Bolete Lactarius FunnelChanterelle HornOfPlenty GypsyMushroom SlimySpikeCap SweetTooth TerracottaHedgehog AlbatrellusOvinus ,Chanterelle  SummerCep  SlipperyJack  OrangeBirchBolete  SheathedWoodtuft  CoconutScentedMilkcap,5,Pick Separate Unidentified,Poisonous,
261,74,F,37,5,4,2,4,5,3,2,2,x,,x,x,,,,x,x,,,x,x,,FunnelChanterelle Hydnum AlbatrellusOvinus,Bolete  WoollyMilkcap  Russula  Chanterelle,2,Alone Equipment,Pick,FunnelSlope
262,69,F,40,3,5,4,5,5,5,5,4,,,,x,x,,,x,x,x,x,x,x,,Bolete FunnelChanterelle GypsyMushroom,Chanterelle,4,,,
263,68,F,60,7,1,5,5,3,4,1,2,x,,,x,,x,,x,x,,x,x,x,,,,3,,,
266,70,F,40,4,4,5,4,5,4,5,5,,,,x,,,,x,x,,x,x,x,,Russula FunnelChanterelle,Chanterelle,4,Pick,Webcap,Old
267,69,F,50,10,4,4,5,4,4,2,4,x,,,,,,,x,,,,,,,FunnelChanterelle Lactarius,Bolete,5,,,Familiar
268,45,F,10,2,2,4,3,2,4,2,2,x,,,x,,,,x,x,,x,x,,,Bolete AlbatrellusOvinus,,4,BoleteSafe,,
269,33,F,8,4,4,4,4,2,2,4,1,,x,,,,,x,x,x,x,x,x,x,x,AlbatrellusOvinus LactariusRufus BirchMilkcap CurryMilkcap Chanterelle Porcini Hydnum ShingledHedgehog LeccinumPiceinum HornOfPlenty FunnelChanterelle BloodRedWebcap VelvetRollRim,Chanterelle  Lactarius  WoollyMilkcap  LactariusFlexuosus  Russula ,4,Pick One,,
270,35,F,10,4,4,4,4,2,4,1,2,x,,,x,x,,,x,x,,x,x,,,FunnelChanterelle Porcini AlbatrellusOvinus,,5,Pick,,
271,30,M,4,4,1,4,2,4,2,1,1,,,,,x,,x,x,x,,,,x,x,Chanterelle HornOfPlenty Bolete,,4,Pick,Pick,
272,54,F,35,3,4,4,3,5,4,4,3,x,,,x,,x,,x,x,,x,x,x,,FunnelChanterelle AlbatrellusOvinus,WoollyMilkcap   GrassGreenRussula,4,Pick,Milk None,Morel Chanterelle FunnelMoss FunnelSlope FunnelSpruce
273,23,F,15,1,1,3,4,4,4,2,4,x,,,x,x,,,x,x,,x,x,x,,Bolete,Chanterelle Chaga,4,Pick,Pick,
274,36,F,1,2,2,5,2,3,4,4,3,,,,,x,,,x,x,,x,x,,,FunnelChanterelle SlimySpikeCap Lactarius,,5,Pick,White Pick,
